card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Thiago Santos,/wiki/Thiago_Santos_(fighter),Eric Prindle,/wiki/Eric_Prindle,DQ (groin strike),,def.,04:51,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,3,Alexander Volkov,/wiki/Alexander_Volkov_(fighter),Brett Rogers,/wiki/Brett_Rogers,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Richard Hale,/wiki/Richard_Hale_(fighter),Mike Wessel,/wiki/Mike_Wessel,TKO (punches),,def.,01:19,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Vinicius Queiroz,/wiki/Vinicius_Queiroz,Mark Holata,/wiki/Mark_Holata,Submission (armbar),,def.,03:26,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,3,Chase Beebe,/wiki/Chase_Beebe,Bo Harris,N/A,Unanimous decision,,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,3,Ryan Martinez,/wiki/Ryan_Martinez,Manny Lara,N/A,Majority decision,,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Joe Williams,/wiki/Joe_Williams_(fighter),Rod Montoya,N/A,Submission (rear naked choke),,def.,03:17,Welterweight,,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Jason Graves,N/A,RafaÅâ SkibiÅãski,N/A,Submission (rear naked choke),,def.,02:50,Catchweight (178åÊlb),,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Anthony Gomez,/wiki/Anthony_Gomez,Jose Medina,N/A,Submission (rear naked choke),,def.,02:32,Catchweight (210åÊlb),,,,,,,,,,,,,
,"Hammond, Indiana","October 5, 2012",Bellator 75,1,Cliff Wright,/wiki/Cliff_Wright_(fighter),Bobby Reardanz,N/A,Submission (rear naked choke),,def.,03:39,Catchweight (148åÊlb),,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,1,Eddie Alvarez,/wiki/Eddie_Alvarez,Patricky Freire,/wiki/Patricky_Freire,KO (head kick and punches),,def.,04:54,Lightweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,3,Rad Martinez,/wiki/Rad_Martinez,Nazareno Malegarie,/wiki/Nazareno_Malegarie,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,1,Wagnney Fabiano,/wiki/Wagnney_Fabiano,Akop Stepanyan,/wiki/Akop_Stepanyan,Submission (armbar),,def.,03:24,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,1,Mike Richman,/wiki/Mike_Richman,Jeremy Spoon,/wiki/Jeremy_Spoon,KO (head kick and punches),,def.,00:23,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,1,Shahbulat Shamhalaev,/wiki/Shahbulat_Shamhalaev,Cody Bollinger,N/A,TKO (punches),,def.,04:49,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,1,Magomedrasul Khasbulaev,/wiki/Magomedrasul_Khasbulaev,Nayeb Hezam,N/A,TKO (punches),,def.,00:24,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,3,Jason Fischer,/wiki/Jason_Fischer_(fighter),Kyle Prepolec,N/A,Submission (arm-triangle choke),,def.,03:19,Featherweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,3,Chad Laprise,/wiki/Chad_Laprise,Ainsley Robinson,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,3,Ali Mokdad,N/A,Simon Marini,N/A,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Windsor, Ontario","October 12, 2012",Bellator 76,3,Dom O'Grady,/wiki/Dom_O%27Grady,A.J. Matthews,/wiki/A.J._Matthews,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,3,Rich Clementi,/wiki/Rich_Clementi,Alexander Sarnavskiy,/wiki/Alexander_Sarnavskiy,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,3,Dave Jansen,/wiki/Dave_Jansen,Magomed Saadulaev,N/A,Submission (guillotine choke),,def.,00:41,Lightweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,3,Marcin Held,/wiki/Marcin_Held,Murad Machaev,/wiki/Murad_Machaev,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,2,Ricardo Tirloni,/wiki/Ricardo_Tirloni,Rene Nazare,/wiki/Rene_Nazare,Submission (D'arce choke),,def.,01:14,Lightweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,2,Matthew Lozano,N/A,Dave Morgan,N/A,Submission (inverted triangle choke),,def,02:28,Flyweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,3,Lew Polley,N/A,Carmelo Marrero,/wiki/Carmelo_Marrero,"Unanimous decision (29‰ÛÒ28, 30‰ÛÒ27, 29‰ÛÒ28)",,def.,05:00,Catchweight (240),,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,1,Darrell Horcher,/wiki/Darrell_Horcher,E.J. Brooks,/wiki/E.J._Brooks,KO (punch),,def.,00:21,Lightweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,2,Cosmo Alexandre,/wiki/Cosmo_Alexandre,Mike Bannon,N/A,TKO (doctor stoppage),,def.,05:00,Catchweight (157),,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,3,Duane Bastress,/wiki/Duane_Bastress,Ariel Sepulveda,N/A,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Reading, Pennsylvania","October 19, 2012",Bellator 77,2,Brett Martinez,N/A,Eric Albright,N/A,Submission (guillotine choke),,def.,03:28,Featherweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,2,Lyman Good,/wiki/Lyman_Good,Michail Tsarev,/wiki/Michail_Tsarev,TKO (punches),,def.,03:54,Welterweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,1,Andrey Koreshkov,/wiki/Andrey_Koreshkov,Marius Zaromskis,/wiki/Marius_Zaromskis,TKO (punches),,def.,02:14,Welterweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,2,Daniel Mason-Straus,/wiki/Daniel_Mason-Straus,Alvin Robinson,/wiki/Alvin_Robinson,Submission (rear-naked choke),,def.,04:51,Featherweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,3,Brian Rogers,/wiki/Brian_Rogers_(fighter),Dominique Steele,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,3,Zoila Gurgel,/wiki/Zoila_Gurgel,Casey Noland,N/A,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Women's Flyweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,3,Rob Hanna,N/A,Rocky Edwards,N/A,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,1,Justin McNally,N/A,Jake Nauracy,N/A,Technical submission (triangle choke),,def.,00:38,Catchweight (140åÊlbs),,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,1,Mikkel Parlo,/wiki/Mikkel_Parlo,Jared Combs,N/A,KO (punches),,def.,03:51,Middleweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,1,Billy Horne,N/A,Trey Houston,N/A,Submission (rear naked choke),,def.,03:30,Middleweight,,,,,,,,,,,,,
,"Dayton, Ohio","October 26, 2012",Bellator 78,1,Jason Butcher,/wiki/Jason_Butcher,Shaun Asher,N/A,Submission (guillotine choke),,def.,01:32,Middleweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,1,Richard Hale,/wiki/Richard_Hale_(fighter),Thiago Santos,/wiki/Thiago_Santos_(fighter),TKO (punches),,def.,03:31,Heavyweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,1,Shahbulat Shamhalaev,/wiki/Shahbulat_Shamhalaev,Mike Richman,/wiki/Mike_Richman,TKO (punches),,def.,01:45,Featherweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,3,Douglas Lima,/wiki/Douglas_Lima,Jacob Ortiz,N/A,TKO (head kick and knee),,def.,04:50,Catchweight (180åÊlbs),,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,3,Ryan Ford,/wiki/Ryan_Ford_(fighter),Kyle Baker,N/A,"Unanimous decision (29‰ÛÒ28, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,1,Josh Appelt,/wiki/Josh_Appelt,Ed Carpenter,N/A,Submission (rear naked choke),,def.,03:20,Heavyweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,3,Christ Franck,N/A,Marcus AurÌ©lio,N/A,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Catchweight (173åÊlbs),,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,2,Vitaly Minakov,/wiki/Vitaly_Minakov,Vladimir Starcencov,N/A,TKO (punches),,def.,00:27,Heavyweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,1,Magomedrasul Khasbulaev,/wiki/Magomedrasul_Khasbulaev,Josh Pulsifer,N/A,Submission (rear naked choke),,def.,03:30,Lightweight,,,,,,,,,,,,,
,"Rama, Ontario","November 2, 2012",Bellator 79,1,Guillaume DeLorenzi,N/A,Jonny Carson,N/A,Submission (rear naked choke),,def.,04:49,Lightweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Joe Warren,/wiki/Joe_Warren_(fighter),Owen Evinger,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Rad Martinez,/wiki/Rad_Martinez,Wagnney Fabiano,/wiki/Wagnney_Fabiano,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 30‰ÛÒ27)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,2,Alexander Volkov,/wiki/Alexander_Volkov_(fighter),Vinicius Queiroz,/wiki/Vinicius_Queiroz,TKO (punches),,def.,04:59,Heavyweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Brett Cooper,/wiki/Brett_Cooper_(fighter),Darryl Cobb,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Brandon Girtz,/wiki/Brandon_Girtz,Mike Quinones,N/A,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,1,Cristiano Souza,/wiki/Cristiano_Souza,Robert Otani,N/A,KO (punches),,def.,02:46,Welterweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Cosmo Alexandre,/wiki/Cosmo_Alexandre,Josh Quayhagen,/wiki/Josh_Quayhagen,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,3,Shanon Slack,/wiki/Shanon_Slack,Sky Moiseichik,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Catchweight (150åÊlbs),,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,1,Joe Vedepo,/wiki/Joe_Vedepo,Mike Bernhard,N/A,Submission (shin choke),,def.,03:26,Middleweight,,,,,,,,,,,,,
,"Hollywood, Florida","November 9, 2012",Bellator 80,1,Ryan DeRocher,N/A,Taylor Krahl,N/A,KO (punches),,def.,00:20,Welterweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,2,Marcin Held,/wiki/Marcin_Held,Rich Clementi,/wiki/Rich_Clementi,Submission (toe hold),,def.,03:04,Lightweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,3,Dave Jansen,/wiki/Dave_Jansen,Ricardo Tirloni,/wiki/Ricardo_Tirloni,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,1,Marlon Sandro,/wiki/Marlon_Sandro,Dustin Neace,/wiki/Dustin_Neace,Technical submission (rear naked choke),,def.,02:05,Featherweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,3,Perry Filkins,/wiki/Perry_Filkins,Jonas Billstein,/wiki/Jonas_Billstein,"Unanimous decision (30‰ÛÒ27, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,3,Ruben Rey,N/A,Robbie LeRoux,N/A,"Unanimous decision (30‰ÛÒ27, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,3,Matt Bessette,/wiki/Matt_Bessette,Paul Barrow,/w/index.php?title=Paul_Barrow_(fighter)&action=edit&redlink=1,"Unanimous decision (29‰ÛÒ28, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,1,Brennan Ward,/wiki/Brennan_Ward,Sam McCoy,N/A,KO (punches),,def.,02:49,Middleweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,1,Mike Mucitelli,/wiki/Mike_Mucitelli,Matt Uhde,N/A,Submission (armbar),,def.,00:26,Catchweight (210åÊlbs),,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,1,Dan Cramer,/wiki/Dan_Cramer,Joe Lamoureux,N/A,KO (punches),,def.,03:26,Middleweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,2,Andrew Calandrelli,/wiki/Andrew_Calandrelli,Eric Brown,N/A,Submission (armbar),,def.,03:10,Lightweight,,,,,,,,,,,,,
,"Kingston, Rhode Island","November 16, 2012",Bellator 81,3,Murad Machaev,/wiki/Murad_Machaev,Lorawnt-T Nelson,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Catchweight (165åÊlbs),,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,Andrey Koreshkov,/wiki/Andrey_Koreshkov,Lyman Good,/wiki/Lyman_Good,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,David Rickels,/wiki/David_Rickels,Jason Fischer,/wiki/Jason_Fischer_(fighter),"Unanimous decision (30‰ÛÒ27, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Catchweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,1,Doug Marshall,/wiki/Doug_Marshall,Kala Hose,N/A,KO (punch),,def.,00:22,Middleweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,Alexander Sarnavskiy,/wiki/Alexander_Sarnavskiy,Tony Hervey,/wiki/Tony_Hervey,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,John Schulz,N/A,Hector Garcia,N/A,TKO (punches),,def.,02:45,Catchweight (162åÊlbs),,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,2,Mario Navarro,N/A,Anthony Bain,N/A,Submission (triangle choke),,def.,03:18,Welterweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,Shawn Bunch,/wiki/Shawn_Bunch,Chad Coon,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,2,Giva Santana,/wiki/Giva_Santana,Brendan Sequin,N/A,Submission (kneebar),,def.,02:33,Middleweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,1,Terry Davinney,N/A,Matt Van Buren,/wiki/Matt_Van_Buren,KO (punch),,def.,00:15,Light Heavyweight,,,,,,,,,,,,,
,"Mt. Pleasant, Michigan","November 30, 2012",Bellator 82,3,Jeremy Czarnecki,N/A,Justin Houghton,N/A,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Anthony Leone,/wiki/Anthony_Leone,Zach Makovsky,/wiki/Zach_Makovsky,"Split decision (29‰ÛÒ28, 28‰ÛÒ29, 29‰ÛÒ28)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,1,Jessica Eye,/wiki/Jessica_Eye,Zoila Gurgel,/wiki/Zoila_Gurgel,Technical submission (arm-triangle choke),,def.,00:58,Women's Flyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Darrell Horcher,/wiki/Darrell_Horcher,Chris Liguori,/wiki/Chris_Liguori,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Mike Wessel,/wiki/Mike_Wessel,Alexei Kudin,/wiki/Alexei_Kudin,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Jimmie Rivera,/wiki/Jimmie_Rivera,Jesse Brock,N/A,"Unanimous decision (29‰ÛÒ28, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,1,Terrell Hobbs,N/A,Brylan Van Artsdalen,/wiki/Brylan_Van_Artsdalen,Submission (rear-naked choke),,def.,03:07,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Tuan Pham,N/A,Matthew Lozano,N/A,"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Catchweight (129åÊlbs),,,,,,,,,,,,,
,"Atlantic City, New Jersey","December 7, 2012",Bellator 83,3,Claudio Ledesma,/wiki/Claudio_Ledesma,David Harris,N/A,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,5,Alexander Volkov,/wiki/Alexander_Volkov_(fighter),Richard Hale,/wiki/Richard_Hale_(fighter),Unanimous decision,,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Daniel Vizcaya,N/A,Jack Hermansson,/wiki/Jack_Hermansson,Split decision,,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Felice Herrig,/wiki/Felice_Herrig,Patricia Vidonic,N/A,Unanimous decision,,def.,05:00,Women's Strawweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,1,Louis Taylor,/wiki/Louis_Taylor,Joe Vedepo,/wiki/Joe_Vedepo,KO (punch),,def.,04:12,Middleweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Christian Uflacker,/wiki/Christian_Uflacker,Cliff Wright,/wiki/Cliff_Wright_(fighter),Technical decision (unanimous),,def.,02:26,Lightweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,1,Anthony Gomez,/wiki/Anthony_Gomez,Anton Talamantes,N/A,Submission (rear naked choke),,def.,03:30,Catchweight (215åÊlbs),,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Jerald Williams,N/A,Joey Diehl,N/A,Unanimous decision,,vs,05:00,Flyweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Robert White,N/A,Kenny Booker,N/A,Unanimous decision,,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,3,Belal Muhammad,/wiki/Belal_Muhammad_(fighter),Quinton McCottrell,N/A,Unanimous decision,,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Hammond, Indiana","December 14, 2012",Bellator 84,2,Dave Sharp,N/A,Eddie Castillo,N/A,TKO (punches),,def.,02:35,Heavyweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,2,Michael Chandler,/wiki/Michael_Chandler,Rick Hawn,/wiki/Rick_Hawn,Submission (rear naked choke),,def.,03:07,Lightweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,1,Mikhail Zayats,/wiki/Mikhail_Zayats,Renato Sobral,/wiki/Renato_Sobral,KO (spinning back fist and punches),,def.,04:49,Light Heavyweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,1,Jacob Noe,/wiki/Jacob_Noe,Seth Petruzelli,/wiki/Seth_Petruzelli,TKO (punches),,def.,02:51,Light Heavyweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,5,Pat Curran,/wiki/Pat_Curran_(fighter),Patricio Freire,/wiki/Patricio_Freire,"Split decision (47-48, 48-47, 48-47)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,2,Emanuel Newton,/wiki/Emanuel_Newton,Atanas Djambazov,N/A,Submission (rear naked choke),,def.,02:21,Light Heavyweight,,,,,,,,,,,,,
,"Irvine, California","January 17, 2013",Bellator 85,1,Jason Lambert,/wiki/Jason_Lambert,Hector Ramirez,/wiki/Hector_Ramirez_(fighter),Submission (straight armbar),,def.,03:59,Light Heavyweight,,,,,,,,,,,,,
